Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-10-09 00:00:00+01:00,66.01,66.01,66.01,66.01,0,0.0,0.0
1991-10-10 00:00:00+01:00,66.01,66.01,66.01,66.01,0,0.0,0.0
1991-10-11 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-14 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-15 00:00:00+01:00,65.315,65.315,65.315,65.315,0,0.0,0.0
1991-10-16 00:00:00+01:00,65.315,65.315,65.315,65.315,0,0.0,0.0
1991-10-17 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-18 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-21 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-22 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-23 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1991-10-24 00:00:00+01:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-10-25 00:00:00+01:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-10-28 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-10-29 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-10-30 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-10-31 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-01 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-04 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-05 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-06 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-07 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-08 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-11 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-12 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1991-11-13 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1991-11-14 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1991-11-15 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1991-11-18 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1991-11-19 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1991-11-20 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-21 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-22 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-25 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-26 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-27 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-28 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-11-29 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-12-02 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-03 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-04 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1991-12-05 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1991-12-06 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-09 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-10 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-11 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-12 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-13 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-16 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-17 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1991-12-18 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1991-12-19 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-20 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-23 00:00:00+00:00,58.367,58.367,58.367,58.367,0,0.0,0.0
1991-12-24 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-25 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-26 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-27 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-30 00:00:00+00:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1991-12-31 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-01 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-02 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-03 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-06 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-07 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-08 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-01-09 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-01-10 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-01-13 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-01-14 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-01-15 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-01-16 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-01-17 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-01-20 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-21 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-22 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-23 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-24 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-27 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-28 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-29 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-30 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-01-31 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-03 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-04 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-05 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-06 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-07 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-10 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-11 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-12 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-13 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-14 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-02-17 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-02-18 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-02-19 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-02-20 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-02-21 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-02-24 00:00:00+00:00,60.451,60.451,60.451,60.451,0,0.0,0.0
1992-02-25 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-02-26 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-02-27 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-02-28 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-02 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-03 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1992-03-04 00:00:00+00:00,63.926,63.926,63.926,63.926,0,0.0,0.0
1992-03-05 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-06 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-09 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-10 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-11 00:00:00+00:00,63.231,63.231,63.231,63.231,0,0.0,0.0
1992-03-12 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-03-13 00:00:00+00:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-03-16 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-03-17 00:00:00+00:00,61.841,61.841,61.841,61.841,0,0.0,0.0
1992-03-18 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-03-19 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-03-20 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-03-23 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-03-24 00:00:00+00:00,61.146,61.146,61.146,61.146,0,0.0,0.0
1992-03-25 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-03-26 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-03-27 00:00:00+00:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-03-30 00:00:00+01:00,59.757,59.757,59.757,59.757,0,0.0,0.0
1992-03-31 00:00:00+01:00,59.062,59.062,59.062,59.062,0,0.0,0.0
1992-04-01 00:00:00+01:00,56.977,56.977,56.977,56.977,0,0.0,0.0
1992-04-02 00:00:00+01:00,57.672,57.672,57.672,57.672,0,0.0,0.0
1992-04-03 00:00:00+01:00,57.672,57.672,57.672,57.672,0,0.0,0.0
1992-04-06 00:00:00+01:00,58.367,58.367,58.367,58.367,0,0.0,0.0
1992-04-07 00:00:00+01:00,58.367,58.367,58.367,58.367,0,0.0,0.0
1992-04-08 00:00:00+01:00,58.367,58.367,58.367,58.367,0,0.0,0.0
1992-04-09 00:00:00+01:00,58.367,58.367,58.367,58.367,0,0.0,0.0
1992-04-10 00:00:00+01:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-04-13 00:00:00+01:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-04-14 00:00:00+01:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-04-15 00:00:00+01:00,62.536,62.536,62.536,62.536,0,0.0,0.0
1992-04-16 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-17 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-20 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-21 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-22 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-23 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-24 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-27 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-28 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-29 00:00:00+01:00,64.62,64.62,64.62,64.62,0,0.0,0.0
1992-04-30 00:00:00+01:00,65.315,65.315,65.315,65.315,0,0.0,0.0
1992-05-01 00:00:00+01:00,65.315,65.315,65.315,65.315,0,0.0,0.0
1992-05-04 00:00:00+01:00,65.315,65.315,65.315,65.315,0,0.0,0.0
1992-05-05 00:00:00+01:00,66.01,66.01,66.01,66.01,0,0.0,0.0
1992-05-06 00:00:00+01:00,66.01,66.01,66.01,66.01,0,0.0,0.0
1992-05-07 00:00:00+01:00,66.01,66.01,66.01,66.01,0,0.0,0.0
1992-05-08 00:00:00+01:00,67.4,67.4,67.4,67.4,0,0.0,0.0
1992-05-11 00:00:00+01:00,67.4,67.4,67.4,67.4,0,0.0,0.0
1992-05-12 00:00:00+01:00,67.4,67.4,67.4,67.4,0,0.0,0.0
1992-05-13 00:00:00+01:00,67.4,67.4,67.4,67.4,0,0.0,0.0
1992-05-14 00:00:00+01:00,69.484,69.484,69.484,69.484,0,0.0,0.0
1992-05-15 00:00:00+01:00,71.569,71.569,71.569,71.569,0,0.0,0.0
1992-05-18 00:00:00+01:00,72.264,72.264,72.264,72.264,0,0.0,0.0
1992-05-19 00:00:00+01:00,72.958,72.958,72.958,72.958,0,0.0,0.0
1992-05-20 00:00:00+01:00,73.653,73.653,73.653,73.653,0,0.0,0.0
1992-05-21 00:00:00+01:00,72.264,72.264,72.264,72.264,0,0.0,0.0
1992-05-22 00:00:00+01:00,71.569,71.569,71.569,71.569,0,0.0,0.0
1992-05-25 00:00:00+01:00,71.569,71.569,71.569,71.569,0,0.0,0.0
1992-05-26 00:00:00+01:00,71.569,71.569,71.569,71.569,0,0.0,0.0
1992-05-27 00:00:00+01:00,71.569,71.569,71.569,71.569,0,0.0,0.0
1992-05-28 00:00:00+01:00,70.179,70.179,70.179,70.179,0,0.0,0.0
1992-05-29 00:00:00+01:00,70.179,70.179,70.179,70.179,0,0.0,0.0
1992-06-01 00:00:00+01:00,70.285,70.285,70.285,70.285,0,1.15,0.0
1992-06-02 00:00:00+01:00,70.285,70.285,70.285,70.285,0,0.0,0.0
1992-06-03 00:00:00+01:00,69.582,69.582,69.582,69.582,0,0.0,0.0
1992-06-04 00:00:00+01:00,69.582,69.582,69.582,69.582,0,0.0,0.0
1992-06-05 00:00:00+01:00,67.473,67.473,67.473,67.473,0,0.0,0.0
1992-06-08 00:00:00+01:00,67.473,67.473,67.473,67.473,0,0.0,0.0
1992-06-09 00:00:00+01:00,66.77,66.77,66.77,66.77,0,0.0,0.0
1992-06-10 00:00:00+01:00,66.068,66.068,66.068,66.068,0,0.0,0.0
1992-06-11 00:00:00+01:00,66.068,66.068,66.068,66.068,0,0.0,0.0
1992-06-12 00:00:00+01:00,66.068,66.068,66.068,66.068,0,0.0,0.0
1992-06-15 00:00:00+01:00,65.365,65.365,65.365,65.365,0,0.0,0.0
1992-06-16 00:00:00+01:00,65.365,65.365,65.365,65.365,0,0.0,0.0
1992-06-17 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-06-18 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-06-19 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-06-22 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-06-23 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-06-24 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-06-25 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-06-26 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-06-29 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-06-30 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-01 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-02 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-03 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-06 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-07 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-08 00:00:00+01:00,63.959,63.959,63.959,63.959,0,0.0,0.0
1992-07-09 00:00:00+01:00,63.959,63.959,63.959,63.959,0,0.0,0.0
1992-07-10 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-13 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-14 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-15 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-16 00:00:00+01:00,65.365,65.365,65.365,65.365,0,0.0,0.0
1992-07-17 00:00:00+01:00,65.365,65.365,65.365,65.365,0,0.0,0.0
1992-07-20 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-21 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-22 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-23 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-24 00:00:00+01:00,64.662,64.662,64.662,64.662,0,0.0,0.0
1992-07-27 00:00:00+01:00,63.959,63.959,63.959,63.959,0,0.0,0.0
1992-07-28 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-07-29 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-07-30 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-07-31 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-03 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-04 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-05 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-06 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-07 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-10 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-11 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-12 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-13 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-14 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-17 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-18 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-19 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-20 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-08-21 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-24 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-08-25 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-08-26 00:00:00+01:00,61.85,61.85,61.85,61.85,0,0.0,0.0
1992-08-27 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-28 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-08-31 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-09-01 00:00:00+01:00,63.256,63.256,63.256,63.256,0,0.0,0.0
1992-09-02 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-09-03 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-09-04 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-09-07 00:00:00+01:00,61.85,61.85,61.85,61.85,0,0.0,0.0
1992-09-08 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-09-09 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-09-10 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-09-11 00:00:00+01:00,61.85,61.85,61.85,61.85,0,0.0,0.0
1992-09-14 00:00:00+01:00,62.553,62.553,62.553,62.553,0,0.0,0.0
1992-09-15 00:00:00+01:00,62.202,62.202,62.202,62.202,0,0.0,0.0
1992-09-16 00:00:00+01:00,61.148,61.148,61.148,61.148,0,0.0,0.0
1992-09-17 00:00:00+01:00,63.959,63.959,63.959,63.959,0,0.0,0.0
1992-09-18 00:00:00+01:00,66.77,66.77,66.77,66.77,0,0.0,0.0
1992-09-21 00:00:00+01:00,68.879,68.879,68.879,68.879,0,0.0,0.0
1992-09-22 00:00:00+01:00,68.879,68.879,68.879,68.879,0,0.0,0.0
1992-09-23 00:00:00+01:00,70.285,70.285,70.285,70.285,0,0.0,0.0
1992-09-24 00:00:00+01:00,71.69,71.69,71.69,71.69,0,0.0,0.0
1992-09-25 00:00:00+01:00,71.69,71.69,71.69,71.69,0,0.0,0.0
1992-09-28 00:00:00+01:00,71.69,71.69,71.69,71.69,0,0.0,0.0
1992-09-29 00:00:00+01:00,70.987,70.987,70.987,70.987,0,0.0,0.0
1992-09-30 00:00:00+01:00,70.987,70.987,70.987,70.987,0,0.0,0.0
1992-10-01 00:00:00+01:00,70.987,70.987,70.987,70.987,0,0.0,0.0
1992-10-02 00:00:00+01:00,70.987,70.987,70.987,70.987,0,0.0,0.0
1992-10-05 00:00:00+01:00,70.285,70.285,70.285,70.285,0,0.0,0.0
1992-10-06 00:00:00+01:00,71.69,71.69,71.69,71.69,0,0.0,0.0
1992-10-07 00:00:00+01:00,72.393,72.393,72.393,72.393,0,0.0,0.0
1992-10-08 00:00:00+01:00,72.393,72.393,72.393,72.393,0,0.0,0.0
1992-10-09 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-12 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-13 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-14 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-15 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-16 00:00:00+01:00,73.799,73.799,73.799,73.799,0,0.0,0.0
1992-10-19 00:00:00+01:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-10-20 00:00:00+01:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-10-21 00:00:00+01:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-10-22 00:00:00+01:00,77.313,77.313,77.313,77.313,0,0.0,0.0
1992-10-23 00:00:00+01:00,76.61,76.61,76.61,76.61,0,0.0,0.0
1992-10-26 00:00:00+00:00,76.61,76.61,76.61,76.61,0,0.0,0.0
1992-10-27 00:00:00+00:00,78.016,78.016,78.016,78.016,0,0.0,0.0
1992-10-28 00:00:00+00:00,77.313,77.313,77.313,77.313,0,0.0,0.0
1992-10-29 00:00:00+00:00,77.313,77.313,77.313,77.313,0,0.0,0.0
1992-10-30 00:00:00+00:00,76.61,76.61,76.61,76.61,0,0.0,0.0
1992-11-02 00:00:00+00:00,77.313,77.313,77.313,77.313,0,0.0,0.0
1992-11-03 00:00:00+00:00,78.719,78.719,78.719,78.719,0,0.0,0.0
1992-11-04 00:00:00+00:00,78.719,78.719,78.719,78.719,0,0.0,0.0
1992-11-05 00:00:00+00:00,78.719,78.719,78.719,78.719,0,0.0,0.0
1992-11-06 00:00:00+00:00,79.422,79.422,79.422,79.422,0,0.0,0.0
1992-11-09 00:00:00+00:00,78.719,78.719,78.719,78.719,0,0.0,0.0
1992-11-10 00:00:00+00:00,78.719,78.719,78.719,78.719,0,0.0,0.0
1992-11-11 00:00:00+00:00,76.61,76.61,76.61,76.61,0,0.0,0.0
1992-11-12 00:00:00+00:00,76.61,76.61,76.61,76.61,0,0.0,0.0
1992-11-13 00:00:00+00:00,74.853,74.853,74.853,74.853,0,0.0,0.0
1992-11-16 00:00:00+00:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-11-17 00:00:00+00:00,73.096,73.096,73.096,73.096,0,0.0,0.0
1992-11-18 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-11-19 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-11-20 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-11-23 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-11-24 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-11-25 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-11-26 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-11-27 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-11-30 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-12-01 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-12-02 00:00:00+00:00,74.502,74.502,74.502,74.502,0,0.0,0.0
1992-12-03 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-04 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-07 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-08 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-09 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-10 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-11 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-14 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-15 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-16 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-17 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-18 00:00:00+00:00,75.205,75.205,75.205,75.205,0,0.0,0.0
1992-12-21 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-22 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-23 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-24 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-25 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-28 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-29 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-30 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1992-12-31 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1993-01-01 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
1993-01-04 00:00:00+00:00,75.907,75.907,75.907,75.907,0,0.0,0.0
